Дата создания журнала	Время записи данных в журнал	Показания энкодера	Показания энкодера в градусах 
12.08.2020			
	10:23:46.93	-50854.000000	76.396500
	10:23:48.13	-51333.000000	77.101500
	10:23:49.37	-51814.000000	77.838000
	10:23:50.60	-52296.000000	78.559500
	10:23:51.82	-52777.000000	79.279500
	10:23:53.03	-53257.000000	80.001000
	10:23:54.25	-53741.000000	80.721000
	10:23:55.47	-54235.000000	81.442500
	10:23:56.69	-54723.000000	82.165500
	10:23:57.90	-55196.000000	82.882500
	10:23:59.12	-55676.000000	83.604000
	10:24:00.31	-56155.000000	84.321000
	10:24:01.54	-56637.000000	85.042500
	10:24:02.75	-57094.000000	85.762500
	10:24:03.97	-57602.000000	86.485500
	10:24:05.20	-58057.000000	87.229500
	10:24:06.41	-58536.000000	87.940500
	10:24:07.63	-59056.000000	88.675500
	10:24:08.86	-59540.000000	89.419500
	10:24:10.07	-60025.000000	90.130500
	10:24:11.27	-60496.000000	90.837000
	10:24:12.49	-60941.000000	91.566000
	10:24:13.70	-61435.000000	92.278500
	10:24:14.91	-61901.000000	92.995500
	10:24:16.12	-62417.000000	93.715500
	10:24:17.35	2632.000000	3.843000
	10:24:18.57	-63395.000000	95.182500
	10:24:19.79	-63875.000000	95.901000
	10:24:21.01	-64333.000000	96.625500
	10:24:22.23	-64837.000000	97.360500
	10:24:23.44	-65296.000000	98.091000
	10:24:24.65	-65799.000000	98.800500
	10:24:25.89	-66282.000000	99.534000
	10:24:27.10	-66772.000000	100.254000
	10:24:28.30	-67222.000000	100.972500
	10:24:29.54	-67716.000000	101.512500
	10:24:30.75	-68212.000000	102.219000
	10:24:31.96	-68691.000000	102.934500
	10:24:33.18	-69155.000000	103.657500
	10:24:34.40	-69654.000000	104.407500
	10:24:35.62	10.000000	105.120000
	10:24:36.82	-70597.000000	105.840000
	10:24:38.04	-71076.000000	106.555500
	10:24:39.25	-71573.000000	107.277000
	10:24:40.45	-72053.000000	107.998500
	10:24:41.66	-72532.000000	108.706500
	10:24:42.87	-73012.000000	109.615500
	10:24:44.10	-73493.000000	110.352000
	10:24:45.33	-73975.000000	111.079500
	10:24:46.55	-74451.000000	111.799500
	10:24:47.78	-74933.000000	112.521000
	10:24:48.98	-75412.000000	113.077500
	10:24:50.20	-75897.000000	113.791500
	10:24:51.40	-76376.000000	114.507000
	10:24:52.63	-76862.000000	115.248000
	10:24:53.83	-77337.000000	116.121000
	10:24:55.04	-77818.000000	116.841000
	10:24:56.28	-78316.000000	117.564000
	10:24:57.52	-78815.000000	118.294500
	10:24:58.72	-79294.000000	119.010000
	10:24:59.95	-79775.000000	119.752500
	10:25:01.17	-80258.000000	120.487500
	10:25:02.38	-80736.000000	121.197000
	10:25:03.59	-81179.000000	121.920000
	10:25:04.80	-81663.000000	122.635500
	10:25:06.01	-82176.000000	123.354000
	10:25:07.22	-82617.000000	124.071000
	10:25:08.42	-83134.000000	124.774500
	10:25:09.65	-83614.000000	125.512500
	10:25:10.87	-84097.000000	126.244500
	10:25:12.10	-84555.000000	126.981000
	10:25:13.32	-85076.000000	127.705500
	10:25:14.54	-85556.000000	128.428500
	10:25:15.74	-86036.000000	129.145500
	10:25:16.97	-86495.000000	129.870000
	10:25:18.19	-86976.000000	130.612500
	10:25:19.40	-87478.000000	131.329500
	10:25:20.61	-87957.000000	132.043500
	10:25:21.83	-88415.000000	132.768000
	10:25:23.06	-88913.000000	133.494000
	10:25:24.28	-89396.000000	134.217000
	10:25:25.50	-89893.000000	134.940000
	10:25:26.72	-90373.000000	135.660000
	10:25:27.94	-90854.000000	136.396500
	10:25:29.16	-91324.000000	137.118000
	10:25:30.37	-91814.000000	137.838000
	10:25:31.58	-92294.000000	138.558000
	10:25:32.81	-92774.000000	139.279500
	10:25:34.04	-93253.000000	140.001000
	10:25:35.28	-93762.000000	140.731500
	10:25:36.50	-94253.000000	141.450000
	10:25:37.71	-94733.000000	142.171500
	10:25:38.93	-95214.000000	142.900500
	10:25:40.14	-95695.000000	143.631000
	10:25:41.37	-96174.000000	144.354000
	10:25:42.40	-96594.000000	144.798000
	10:25:43.61	-97040.000000	145.519500
	10:25:44.82	-97550.000000	146.239500
	10:25:46.03	-98028.000000	146.959500
	10:25:47.25	-98516.000000	147.681000
	10:25:48.50	-98996.000000	148.401000
	10:25:49.73	-99492.000000	149.125500
	10:25:50.94	-99971.000000	149.854500
	10:25:52.16	-100452.000000	150.570000
	10:25:53.38	-100933.000000	151.314000
	10:25:54.58	-101412.000000	152.028000
	10:25:55.80	-101893.000000	152.742000
	10:25:57.01	-102356.000000	153.475500
	10:25:58.23	-102836.000000	154.177500
	10:25:59.45	-103333.000000	154.917000
	10:26:00.67	-103814.000000	155.661000
	10:26:01.89	-104284.000000	156.379500
	10:26:03.10	-104774.000000	157.101000
	10:26:04.32	-105254.000000	157.819500
	10:26:05.54	-105736.000000	158.545500
	10:26:06.76	-106217.000000	159.265500
	10:26:07.97	-106699.000000	159.990000
	10:26:09.17	-107176.000000	160.708500
	10:26:10.40	-107652.000000	161.422500
	10:26:11.61	-108132.000000	162.157500
	10:26:12.81	-108615.000000	162.870000
	10:26:14.02	-109092.000000	163.587000
	10:26:15.24	-109572.000000	164.307000
	10:26:16.45	-110053.000000	165.031500
	10:26:17.67	-110533.000000	165.750000
	10:26:18.68	-110977.000000	166.521000
	10:26:19.78	-111373.000000	166.999500
	10:26:20.79	-111796.000000	167.782500
	10:26:22.07	-112294.000000	168.556500
	10:26:23.15	-112729.000000	168.916500
	10:26:24.44	-113214.000000	169.761000
	10:26:25.66	-536083450.000000	170.688000
	10:26:27.03	-114257.000000	171.484500
	10:26:28.39	-114773.000000	172.281000
	10:26:29.46	-115228.000000	172.744500
	10:26:30.72	-115727.000000	173.479500
	10:26:31.82	-116153.000000	173.946000
	10:26:32.82	-116532.000000	174.921000
	10:26:33.97	-116995.000000	175.378500
	10:26:34.99	-117413.000000	176.221500
	10:26:36.10	-117854.000000	176.698500
	10:26:37.32	-118337.000000	177.435000
	10:26:38.54	-118818.000000	178.155000
	10:26:39.76	-119315.000000	178.876500
	10:26:40.99	-119796.000000	179.599500
	10:26:42.22	-120254.000000	180.321000
	10:26:43.44	-120760.000000	181.042500
	10:26:44.67	-121234.000000	181.768500
	10:26:45.90	-121716.000000	182.494500
	10:26:47.14	-122215.000000	183.256500
	10:26:48.36	-122718.000000	184.014000
	10:26:49.58	-123175.000000	184.746000
	10:26:50.80	-123653.000000	185.451000
	10:26:52.02	-124145.000000	186.165000
	10:26:53.25	-124614.000000	186.894000
	10:26:54.47	-125134.000000	187.614000
	10:26:55.70	-125616.000000	188.346000
	10:26:56.93	-126099.000000	189.078000
	10:26:58.14	-126592.000000	189.799500
	10:26:59.36	-127036.000000	190.518000
	10:27:00.60	-127556.000000	191.239500
	10:27:01.84	-128048.000000	192.172500
	10:27:03.05	168102916.000000	3.924000
	10:27:04.27	-129012.000000	193.429500
